stock,endDate,cash
A,2016-10-31,2289000000.0
A,2017-10-31,2678000000.0
A,2018-10-31,2247000000.0
A,2019-10-31,1382000000.0
AA,2016-12-31,853000000.0
AA,2017-12-31,1358000000.0
AA,2018-12-31,1113000000.0
AA,2019-12-31,879000000.0
AAL,2016-12-31,322000000.0
AAL,2017-12-31,295000000.0
AAL,2018-12-31,275000000.0
AAL,2019-12-31,280000000.0
AAME,2016-12-31,13252000.0
AAME,2017-12-31,24547000.0
AAME,2018-12-31,12630000.0
AAME,2019-12-31,12893000.0
AAN,2016-12-31,308561000.0
AAN,2017-12-31,51037000.0
AAN,2018-12-31,15278000.0
AAN,2019-12-31,57755000.0
AAOI,2016-12-31,50224000.0
AAOI,2017-12-31,82936000.0
AAOI,2018-12-31,55646000.0
AAOI,2019-12-31,59977000.0
AAON,2016-12-31,24153000.0
AAON,2017-12-31,21457000.0
AAON,2018-12-31,1994000.0
AAON,2019-12-31,26797000.0
AAP,2016-12-31,135178000.0
AAP,2017-12-30,546937000.0
AAP,2018-12-29,896527000.0
AAP,2019-12-28,418665000.0
AAPL,2016-09-24,20484000000.0
AAPL,2017-09-30,20289000000.0
AAPL,2018-09-29,25913000000.0
AAPL,2019-09-28,48844000000.0
AAT,2016-12-31,44801000.0
AAT,2017-12-31,82610000.0
AAT,2018-12-31,47956000.0
AAT,2019-12-31,99303000.0
AAWW,2016-12-31,123890000.0
AAWW,2017-12-31,280809000.0
AAWW,2018-12-31,221501000.0
AAWW,2019-12-31,103029000.0
AAXN,2016-12-31,40651000.0
AAXN,2017-12-31,75105000.0
AAXN,2018-12-31,349462000.0
AAXN,2019-12-31,172250000.0
ABB,2016-12-31,3644000000.0
ABB,2017-12-31,4526000000.0
ABB,2018-12-31,3445000000.0
ABB,2019-12-31,3544000000.0
ABBV,2016-12-31,5100000000.0
ABBV,2017-12-31,9303000000.0
ABBV,2018-12-31,7289000000.0
ABBV,2019-12-31,39924000000.0
ABC,2016-09-30,2741832000.0
ABC,2017-09-30,2435115000.0
ABC,2018-09-30,2492516000.0
ABC,2019-09-30,3374194000.0
ABCB,2016-12-31,160585000.0
ABCB,2017-12-31,286558000.0
ABCB,2018-12-31,618327000.0
ABCB,2019-12-31,512149000.0
ABEO,2016-12-31,69142000.0
ABEO,2017-12-31,137750000.0
ABEO,2018-12-31,18750000.0
ABEO,2019-12-31,129258000.0
ABG,2016-12-31,3400000.0
ABG,2017-12-31,4700000.0
ABG,2018-12-31,8300000.0
ABG,2019-12-31,3500000.0
ABIO,2016-12-31,7401000.0
ABIO,2017-12-31,8702000.0
ABIO,2018-12-31,6608000.0
ABIO,2019-12-31,8363000.0
ABM,2016-10-31,53500000.0
ABM,2017-10-31,62800000.0
ABM,2018-10-31,39100000.0
ABM,2019-10-31,58500000.0
ABMD,2017-03-31,39040000.0
ABMD,2018-03-31,42975000.0
ABMD,2019-03-31,121021000.0
ABMD,2020-03-31,192341000.0
ABR,2016-12-31,138645000.0
ABR,2017-12-31,104374000.0
ABR,2018-12-31,160063000.0
ABR,2019-12-31,299687000.0
ABT,2016-12-31,18620000000.0
ABT,2017-12-31,9407000000.0
ABT,2018-12-31,3844000000.0
ABT,2019-12-31,3860000000.0
ABTX,2016-12-31,142098000.0
ABTX,2017-12-31,182103000.0
ABTX,2018-12-31,241247000.0
ABTX,2019-12-31,346248000.0
ABUS,2016-12-31,23413000.0
ABUS,2017-12-31,54292000.0
ABUS,2018-12-31,36942000.0
ABUS,2019-12-31,31799000.0
ACA,2016-12-31,14000000.0
ACA,2017-12-31,6800000.0
ACA,2018-12-31,99400000.0
ACA,2019-12-31,240400000.0
ACAD,2016-12-31,163620000.0
ACAD,2017-12-31,69418000.0
ACAD,2018-12-31,134758000.0
ACAD,2019-12-31,189680000.0
ACBI,2016-12-31,154829000.0
ACBI,2017-12-31,319333000.0
ACBI,2018-12-31,258935000.0
ACBI,2019-12-31,466328000.0
ACC,2016-12-31,22140000.0
ACC,2017-12-31,41182000.0
ACC,2018-12-31,71238000.0
ACC,2019-12-31,54650000.0
ACCO,2016-12-31,42900000.0
ACCO,2017-12-31,76900000.0
ACCO,2018-12-31,67000000.0
ACCO,2019-12-31,27800000.0
ACER,2016-12-31,1834018.0
ACER,2017-12-31,15644355.0
ACER,2018-12-31,41671284.0
ACER,2019-12-31,12077640.0
ACGL,2016-12-31,842942000.0
ACGL,2017-12-31,606199000.0
ACGL,2018-12-31,646556000.0
ACGL,2019-12-31,726230000.0
ACHC,2016-12-31,57063000.0
ACHC,2017-12-31,67290000.0
ACHC,2018-12-31,50510000.0
ACHC,2019-12-31,124192000.0
ACHV,2016-12-31,15000.0
ACHV,2017-12-31,5284000.0
