fold,AUC,fit_s,predict_s,model
1,0.8858475341862854,0.001466100016841665,0.0006502000032924116,GNB
2,0.8592284739982949,0.0009865000029094517,0.00040249997982755303,GNB
3,0.818429545731336,0.0008735000155866146,0.0003798999823629856,GNB
4,0.8852301790281331,0.0013941999932285398,0.0007019999902695417,GNB
5,0.8892948483741323,0.0010511000000406057,0.0005184999899938703,GNB
1,0.9299673386816564,0.00478109999676235,3.865846500004409,KDE-NB
2,0.919954938497138,0.002955100004328415,4.095572400023229,KDE-NB
3,0.9047619047619048,0.0022624000266660005,3.951719700009562,KDE-NB
4,0.932932955791012,0.0027486000035423785,4.031908899982227,KDE-NB
5,0.9234335038363172,0.0026399999915156513,4.0386094999848865,KDE-NB
